comparedTeam,League,Wins,SimiliartyHitting,SimilarityPitching,BABIP,wOBA,ERA,FIP,PBABIP,effERA
2013 Tampa Bay Rays,AL,91.43558282208588,100,100,99.25005910333725,103.12318779334262,96.86237283845145,78.15761833718541,92.74003133281336,93.390090174967384
1960 Boston Red Sox,AL,68.37662337662337,88.85039484523594,242.34736274860424,102.9193264850769,102.15517728662043,121.02258566978192,111.43093678657014,109.02603556596173,123.67102737950404
1960 Chicago White Sox,AL,91.51948051948052,159.57435638755098,136.40266051144627,104.15468903658368,104.28573917263878,94.30331350892098,109.99457567944798,102.26374792814958,92.602419503724903
1960 Chicago Cubs,NL,62.307692307692314,77.8883085613702,212.55470044022573,97.79030374965913,96.29884666084976,113.94983715661284,120.05547799474164,101.31578549496764,117.52971429918166
1960 Cincinnati Reds,NL,70.48051948051948,121.44338658713968,139.29338496012116,98.71520556119533,98.94912741383536,104.78145945435664,93.30130127374814,105.88695585888416,107.09752745094856
1960 Cleveland Indians,AL,79.94805194805195,92.46421656723898,219.05354827644277,100.25977124226317,99.92422173377615,103.47169121117719,145.31233745069017,96.17157738123724,106.19912575579222
1960 Detroit Tigers,AL,74.68831168831169,140.027239643998,115.47661250860946,90.43266782898492,99.01370144423663,95.35112810346456,93.40960930027225,97.97239884445082,96.772612446913215
1960 Kansas City Athletics,AL,60.61935483870968,50.42696647115547,222.6282352898497,97.6227768242365,96.71398278694838,114.73569810252053,138.31257081356927,106.57485662415036,117.99902861754691
1960 Los Angeles Dodgers,NL,86.25974025974025,113.91412758760745,123.45421168848799,101.27003042147898,99.70515230615723,89.06424053620316,84.70573863941982,85.08113440568374,86.970647683341966
1960 Milwaukee Braves,NL,92.57142857142857,145.45741287144807,132.52461244839094,101.75338550010962,103.03629080775313,98.49457188709523,95.97611061690652,99.38797492927344,94.21149716669143
1960 New York Yankees,AL,101.38064516129033,166.54443937223456,130.88441507244426,98.99204184694769,104.83888017672378,92.20768431983385,116.95233707318515,93.82642285314338,89.250174372544592
1960 Philadelphia Phillies,NL,62.06493506493507,24.493026427723464,143.39966787779068,101.19883049383323,92.07912144244835,105.04341310299255,93.48760476518552,107.36499767747283,105.58231265165506
1960 Pittsburgh Pirates,NL,99.29032258064517,82.42939979664177,49.296713239567524,108.21842796321175,103.98667058518947,91.42182337392619,52.59677058920704,103.0830458751131,88.083593066893854
1960 San Francisco Giants,NL,82.03846153846153,104.4215194816368,82.874281783813771,100.95919839783636,98.91609100601585,90.11205513074671,66.28213586903013,96.98770841430148,82.867499642777275
1960 St. Louis Cardinals,NL,89.88387096774193,83.80436572429488,128.34451672278647,99.08342749211596,99.96072516514924,95.35112810346456,81.72758380833072,98.04800338029813,94.774674348729732
1960 Washington Senators,AL,76.79220779220779,105.14779323810932,152.10135225777981,96.35241898132627,99.4079037736419,98.75652553573114,101.95423441983667,103.32398024450036,99.588498357104669
1961 Baltimore Orioles,AL,94.41717791411043,77.45199164788349,45.815310301658585,99.76040056401068,98.97454057730334,79.9884623268617,69.44318912415554,88.55538949452524,70.340364639654467
1961 Boston Red Sox,AL,75.53374233128834,79.0312808481764,224.47998684138435,100.66500296674039,98.8111441109582,106.56847931125364,127.37148598901258,102.62518886430743,109.85728206643941
