comparedTeam,League,Wins,SimiliartyHitting,SimilarityPitching,BABIP,wOBA,ERA,FIP,PBABIP,effERA
2012 Philadelphia Phillies,NL,81.0,100,100,97.72239726404224,99.05225267227847,95.59143548501613,65.03063072578848,95.3893779786545,95.896673642983288
1960 Boston Red Sox,AL,68.37662337662337,45.856852427712404,254.11007024186733,102.9193264850769,102.15517728662043,121.02258566978192,111.43093678657014,109.02603556596173,123.67102737950404
1960 Chicago White Sox,AL,91.51948051948052,116.58081397002744,148.16536800470936,104.15468903658368,104.28573917263878,94.30331350892098,109.99457567944798,102.26374792814958,92.602419503724903
1960 Chicago Cubs,NL,62.307692307692314,34.89476614384668,224.31740793348882,97.79030374965913,96.29884666084976,113.94983715661284,120.05547799474164,101.31578549496764,117.52971429918166
1960 Cincinnati Reds,NL,70.48051948051948,78.44984416961616,151.05609245338422,98.71520556119533,98.94912741383536,104.78145945435664,93.30130127374814,105.88695585888416,107.09752745094856
1960 Cleveland Indians,AL,79.94805194805195,49.47067414971545,230.81625576970586,100.25977124226317,99.92422173377615,103.47169121117719,145.31233745069017,96.17157738123724,106.19912575579222
1960 Detroit Tigers,AL,74.68831168831169,97.03369722647446,127.23932000187254,90.43266782898492,99.01370144423663,95.35112810346456,93.40960930027225,97.97239884445082,96.772612446913215
1960 Kansas City Athletics,AL,60.61935483870968,7.4334240536319385,234.39094278311279,97.6227768242365,96.71398278694838,114.73569810252053,138.31257081356927,106.57485662415036,117.99902861754691
1960 Los Angeles Dodgers,NL,86.25974025974025,70.92058517008394,135.21691918175105,101.27003042147898,99.70515230615723,89.06424053620316,84.70573863941982,85.08113440568374,86.970647683341966
1960 Milwaukee Braves,NL,92.57142857142857,102.46387045392456,144.287319941654,101.75338550010962,103.03629080775313,98.49457188709523,95.97611061690652,99.38797492927344,94.21149716669143
1960 New York Yankees,AL,101.38064516129033,123.55089695471104,142.64712256570732,98.99204184694769,104.83888017672378,92.20768431983385,116.95233707318515,93.82642285314338,89.250174372544592
1960 Philadelphia Phillies,NL,62.06493506493507,-18.50051598980008,155.16237537105377,101.19883049383323,92.07912144244835,105.04341310299255,93.48760476518552,107.36499767747283,105.58231265165506
1960 Pittsburgh Pirates,NL,99.29032258064517,39.43585737911824,61.059420732830603,108.21842796321175,103.98667058518947,91.42182337392619,52.59677058920704,103.0830458751131,88.083593066893854
1960 San Francisco Giants,NL,82.03846153846153,61.427977064113286,94.63698927707685,100.95919839783636,98.91609100601585,90.11205513074671,66.28213586903013,96.98770841430148,82.867499642777275
1960 St. Louis Cardinals,NL,89.88387096774193,40.810823306771354,140.10722421604956,99.08342749211596,99.96072516514924,95.35112810346456,81.72758380833072,98.04800338029813,94.774674348729732
